seller_id,product_category_name_english,order_item_id,price,freight_value,seller_zip_code_prefix,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
0015a82c2db000af6aaaf3ae2ecb0532,small_appliances,3,2685.0,63.06,27240,120.0,2547.0,6.0,35400.0,120.0,129.0,108.0
001cca7ae9ae17fb1caed9dfb1094831,construction_tools_construction,34,2925.7299999999996,1269.09,787212,989.0,11658.0,72.0,266050.0,1101.0,348.0,1077.0
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,258,22154.30000000001,7585.0499999999865,6181072,7577.0,101234.0,357.0,1878700.0,8838.0,2723.0,8265.0
001e6ad469a905060d959994f1b41e4f,sports_leisure,1,250.0,17.94,24754,58.0,413.0,5.0,750.0,16.0,5.0,11.0
002100f778ceb8431b7a1020ff7ab48f,furniture_decor,60,1234.4999999999993,793.6600000000005,792275,3039.0,35962.0,55.0,18250.0,884.0,1566.0,1076.0
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,172,17841.689999999995,3046.5999999999995,2360520,8864.0,82818.0,164.0,332008.0,5807.0,1808.0,5491.0
00720abe85ba0859807595bbf045a33b,housewares,55,1007.4999999999995,315.98,183820,1133.0,12823.0,58.0,13650.0,650.0,270.0,937.0
00ab3eff1b5192e5f1a63bcecfee11c8,health_beauty,1,98.0,12.08,4164,16.0,646.0,1.0,800.0,28.0,12.0,18.0
00d8b143d12632bad99c0ad66ad52825,fashion_bags_accessories,1,86.0,51.1,30170,28.0,293.0,1.0,150.0,16.0,15.0,15.0
00ee68308b45bc5e2660cd833c3f81cc,bed_bath_table,219,18400.0,2251.919999999999,499950,7092.0,67643.0,166.0,505741.0,9302.0,2524.0,6896.0
00ee68308b45bc5e2660cd833c3f81cc,furniture_mattress_and_upholstery,22,1860.0,928.74,73326,902.0,19052.0,22.0,37400.0,1540.0,220.0,2200.0
00fc707aaaad2d31347cf883cd2dfe10,computers_accessories,183,12684.899999999994,2285.0899999999992,11748375,5761.0,78644.0,135.0,32048.0,2514.0,1768.0,1877.0
010543a62bd80aa422851e79a3bc7540,computers_accessories,2,1416.0,31.950000000000003,2424,96.0,678.0,12.0,5800.0,54.0,22.0,40.0
010da0602d7774602cd1b3f5fb7b709e,kitchen_dining_laundry_garden_furniture,15,849.5,230.25,48550,235.0,3645.0,20.0,73250.0,255.0,220.0,225.0
